CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0183,0.13,C0154,0.13,C0026,0.13
C0002,C0170,0.2,C0109,0.19,C0008,0.16
C0003,C0031,0.21,C0088,0.2,C0083,0.17
C0004,C0041,0.19,C0019,0.18,C0065,0.17
C0005,C0162,0.18,C0096,0.15,C0054,0.11
C0006,C0126,0.19,C0171,0.15,C0040,0.15
C0007,C0085,0.28,C0098,0.17,C0019,0.15
C0008,C0091,0.27,C0143,0.18,C0002,0.16
C0009,C0156,0.19,C0024,0.18,C0162,0.18
C0010,C0065,0.16,C0092,0.15,C0141,0.14
C0011,C0177,0.17,C0170,0.17,C0061,0.16
C0012,C0128,0.27,C0163,0.23,C0101,0.2
C0013,C0101,0.19,C0148,0.18,C0141,0.17
C0014,C0033,0.2,C0186,0.19,C0085,0.17
C0015,C0059,0.23,C0185,0.15,C0048,0.15
C0016,C0187,0.3,C0066,0.17,C0192,0.16
C0017,C0104,0.23,C0071,0.18,C0188,0.16
C0018,C0039,0.28,C0115,0.19,C0038,0.18
C0019,C0084,0.18,C0004,0.18,C0064,0.15
C0020,C0060,0.2,C0159,0.18,C0007,0.09
